australian_citizen_f, unemployment_rate_f, unemployed_f, unemployment_rate_p, spks_eng_only_5yrs_pls_f, unemployment_rate_m, total_persons, unemployed_p, total_male, unemployed_m, not_in_the_labour_force_f, spks_lang_oth_eng_5y_ovr_m, australian_born_male, spks_lang_oth_eng_5y_ovr_p, australian_born_persons, spks_eng_only_5yrs_pls_p, australian_citizen_p, spks_lang_oth_eng_5y_ovr_f, not_in_the_labour_force_m, lga_code, spks_eng_only_5yrs_pls_m, total_female, australian_citizen_m, australian_born_female, in_the_labour_force_p, not_in_the_labour_force_p
52864,6.36007440535085,1607,6.88053729637039,43951,7.30865644431422,112594,3852,54566,2245,20880,8272,41812,17157,86615,85246,102626,8885,11580,20660,41295,58028,49762,44803,55984,32460
9321,9.7188995215311,325,11.1254019292605,8909,12.186865267434,20147,865,9829,540,4709,427,8030,871,16375,17341,18318,444,3019,20740,8432,10318,8997,8345,7775,7728
15527,8.44135314574771,534,9.37520704962565,14342,10.0490475647314,32985,1415,16398,881,5798,501,14395,1004,28845,28556,30939,503,3041,20830,14214,16587,15412,14450,15093,8839
38035,5.00942037016513,904,5.5320558556722,34472,5.97697896027927,80933,2171,38060,1267,16560,4115,28261,8778,60214,64990,71895,4663,8474,20910,30518,42873,33860,31953,39244,25034
67462,5.01059989686587,1749,5.47632158590308,57793,5.90713944983304,144590,3978,67611,2229,28091,11575,48553,24100,104356,107570,126658,12525,15405,21110,49777,76979,59196,55803,72640,43496
65006,13.9383829062256,3927,13.9281148735024,29498,13.920716112532,149131,9370,74643,5443,27753,37192,39545,74679,78924,59179,130338,37487,16195,21180,29681,74488,65332,39379,67274,43948
18503,6.87272727272727,567,7.05732484076433,17151,7.19120879120879,40599,1385,20250,818,6381,874,16617,1771,33308,34243,36937,897,3037,21450,17092,20349,18434,16691,19625,9418
63244,8.18894525331049,2486,7.64846817982052,50613,7.24010055003858,143531,5395,71378,2909,21180,12717,48662,25719,98040,100356,126032,13002,9602,21610,49743,72153,62788,49378,70537,30782
53587,12.2884322365441,2984,13.3283201584652,31725,14.1633597883598,121794,7267,59201,4283,26865,24636,35633,49393,74504,60061,103908,24757,16815,21890,28336,62593,50321,38871,54523,43680
10303,7.04766207363903,312,7.52895752895753,9599,7.88808360020226,22493,780,11399,468,3870,448,9757,799,19385,19270,20808,351,2358,21950,9671,11094,10505,9628,10360,6228
46495,9.13823556753742,1966,9.78225871367625,43983,10.2739726027397,103971,4861,50643,2895,19029,3306,37529,6896,77037,85657,90770,3590,9357,22170,41674,53328,44275,39508,49692,28386
51351,7.30926483067191,1895,7.91990863016632,39419,8.44569910328794,113392,4438,54349,2543,22353,13151,34496,27063,72449,75258,98436,13912,13184,22310,35839,59043,47085,37953,56036,35537
5938,11.0378912685338,268,12.4312614564239,5591,13.3781136300028,13158,746,6781,478,2193,207,5857,405,11335,11555,12319,198,1285,22490,5964,6377,6381,5478,6001,3478
39378,11.2938039614017,1779,13.1488474327904,36591,14.6295733252255,81338,4666,39249,2887,16400,816,35351,1594,73156,70807,76359,778,9368,22620,34216,42089,36981,37805,35486,25768
52078,15.4890965732087,3729,14.4604554721124,28705,13.7171329091127,126179,8299,62880,4570,25129,28077,29398,56310,58913,56925,104051,28233,14641,22670,28220,63299,51973,29515,57391,39770
82167,10.9036374863999,3708,11.7362302267963,72131,12.3696809700658,175409,9237,85562,5529,36208,8860,67493,17986,138748,140253,160656,9126,20132,22750,68122,89847,78489,71255,78705,56340
6316,11.086375779163,249,13.648393194707,5850,15.53876478318,13427,722,6582,473,2907,270,5553,536,11310,11500,12381,266,1791,22910,5650,6845,6065,5757,5290,4698
32846,9.51260504201681,1415,10.4152895530967,22975,11.0893574297189,74164,3624,36685,2209,14442,10456,23828,21122,48303,45302,65054,10666,8115,23110,22327,37479,32208,24475,34795,22557
51735,10.9393737508328,2463,11.2265996088293,33841,11.4340712223292,116030,6027,58042,3564,19124,17367,38983,34911,78205,67544,103432,17544,9766,23270,33703,57988,51697,39222,53685,28890
54979,8.01027733696063,2120,8.3,43302,8.52865748195861,122438,4980,59860,2860,23754,13465,40006,27126,81959,83992,107571,13661,13277,23430,40690,62578,52592,41953,60000,37031
58563,6.36929602517616,1862,6.58532934131737,50095,6.75344726614492,130794,4399,64410,2537,20266,8745,46680,18191,94582,99194,115885,9446,9727,23670,49099,66384,57322,47902,66800,29993
15191,6.63682667078253,430,7.19606278265496,13979,7.61949281290172,32367,1082,15972,652,5319,564,13461,1182,27308,27640,30007,618,2779,24130,13661,16395,14816,13847,15036,8098
46866,5.8636955107352,1442,6.29529317033892,32358,6.64847597497671,103760,3440,50998,1998,17904,15696,33226,32356,67536,63926,92330,16660,10476,24210,31568,52762,45464,34310,54644,28380
24788,18.8750926612305,2037,18.9360253174699,13388,18.9824289040999,59029,4727,29065,2690,13113,13038,14592,26088,30183,25937,48704,13050,8547,24330,12549,29964,23916,15591,24963,21660
42028,6.70611439842209,1394,6.82327103608647,38150,6.91818996765015,91323,3169,44473,1775,15401,3661,34221,7731,70349,74468,81864,4070,7809,24410,36318,46850,39836,36128,46444,23210
15779,9.78691306807467,1038,10.2893890675241,13258,10.7083890242944,48560,2400,25210,1362,7979,5416,12559,10848,24849,27220,32072,5432,6282,24600,13962,23350,16293,12290,23325,14261
17590,9.89524170137574,784,9.76990016550104,15367,9.6780162842339,39169,1830,19659,1046,5986,2033,15250,4125,30390,30769,35371,2092,2820,24650,15402,19510,17781,15140,18731,8806
11334,9.34332304980167,424,9.14438502673797,10309,9.00927865908411,24933,1026,12737,602,4149,487,10848,949,21346,20986,23121,462,2226,24850,10677,12196,11787,10498,11220,6375
66063,7.24138928251251,2504,7.66396462785556,48723,8.00561140986673,152552,5928,75122,3424,29320,22324,46887,45275,95566,95792,130126,22951,18180,24970,47069,77430,64063,48679,77349,47500
48240,8.14357064251249,1924,9.12662493981704,32546,9.94734796282554,104849,4739,50789,2815,20281,15947,33537,32838,69723,62736,93403,16891,12109,25060,30190,54060,45163,36186,51925,32390
10152,9.21277114306605,378,9.74747474747475,9420,10.1259272037261,21942,965,10980,587,3797,370,9325,760,18630,18828,20353,390,1974,25150,9408,10962,10201,9305,9900,5771
57347,11.7681226765799,3039,13.3258813413586,32472,14.5703149167853,130093,7749,63729,4710,28271,26864,38280,54502,78875,62223,112054,27638,17752,25250,29751,66364,54707,40595,58150,46023
50239,9.06699147381242,1861,9.64917805630787,48409,10.0900169704125,110409,4596,53865,2735,22853,2281,42192,4616,86373,94316,98370,2335,13064,25340,45907,56544,48131,44181,47631,35917
7534,11.8551042810099,324,13.2932426016775,6955,14.3892916899052,15930,840,7901,516,3342,166,6959,332,14027,13629,14935,166,2013,25430,6674,8029,7401,7068,6319,5355
5658,6.47482014388489,153,8.0093592512599,5268,9.14500469777639,12451,445,6252,292,2148,210,5220,438,10426,10607,11344,228,1344,25620,5339,6199,5686,5206,5556,3492
25360,4.90736487521053,641,5.07447177000346,22653,5.21255060728745,54417,1465,26961,824,6751,1911,22228,3992,44859,45068,50359,2081,3472,25710,22415,27456,24999,22631,28870,10223
30006,9.30256098795425,1838,10.839393507296,24505,12.1998207885305,73092,4561,36392,2723,11422,7699,21795,15561,44538,48746,59117,7862,8069,25900,24241,36700,29111,22743,42078,19491
1519,9.36254980079681,47,10.1709401709402,1429,10.7784431137725,3193,119,1490,72,854,64,1212,128,2599,2683,2855,64,457,26080,1254,1703,1336,1387,1170,1311
11438,7.25964682799215,333,7.93273624565893,10622,8.41856805664831,24083,868,11910,535,4419,400,10328,824,20840,21048,22642,424,2383,26170,10426,12173,11204,10512,10942,6802
37707,6.50515325926917,1458,7.03227330312856,32131,7.52131798989983,84300,3275,39723,1817,15233,7785,26158,16005,56472,60141,70681,8220,8442,26350,28010,44577,32974,30314,46571,23675
4165,9.25684485006519,142,10.6492800869329,3909,11.6441546343735,8794,392,4395,250,1891,102,3934,187,7829,7785,8342,85,1178,26430,3876,4399,4177,3895,3681,3069
7587,8.52977667493797,275,9.67741935483871,7108,10.5423094904161,16714,726,8389,451,2904,253,7085,492,14112,14233,15251,239,1717,26490,7125,8325,7664,7027,7502,4621
12306,7.17340590979782,369,7.36337979988027,10999,7.51259734310582,25035,861,12193,492,4735,681,10804,1379,22200,21436,23987,698,2620,26700,10437,12842,11681,11396,11693,7355
62562,6.1299948105864,1890,6.80584798790071,50780,7.37503414367659,135472,4590,64871,2700,27020,13071,45435,27022,95047,96904,120047,13951,15253,26980,46124,70601,57485,49612,67442,42273
45615,10.097922139957,2114,10.1834580301322,23207,10.2477558348294,101894,4968,50989,2854,17169,22828,31578,45494,63445,46198,91374,22666,9650,27070,22991,50905,45759,31867,48785,26819
32901,8.31196159663313,1264,8.27878213877824,26109,8.25439783491204,73897,2972,36976,1708,11102,6087,26893,12404,53909,52075,65778,6317,4949,27260,25966,36921,32877,27016,35899,16051
28158,11.2293956043956,1962,12.6701195658163,19925,14.0072240518432,65148,4599,31815,2637,10458,9592,18999,19461,39750,38588,54555,9869,7342,27350,18663,33333,26397,20751,36298,17800
58813,6.73101072799684,1876,7.17025257249766,55147,7.50778902092696,130805,4599,65080,2723,20423,3645,51021,7467,102699,109853,117217,3822,10778,27450,54706,65725,58404,51678,64140,31201
101,12.9032258064516,8,4.52488687782805,97,3.66056572379368,865,30,722,22,45,33,502,43,589,718,708,10,52,29399,621,143,607,87,663,97
